"","Date & Place","On UC","Killed & Wounded","Rel. Light","Rel. Access","Rel. Prox. Coast","Rel. Density"
"113575","2003-11-14, Istanbul","yes",162,96.83,97.62,98.26,81.97
"113739","2008-07-27, Istanbul","yes",171,96.83,97.62,98.26,81.86
"113414","1999-07-30, Gurpinar","no",4,77.78,0,100,72.2
"113490","1999-03-05, Cankiri","no",14,52.38,99.6,74.08,2.5
"113582","2003-08-01, Ankara","yes",11,100,98.81,65.96,7.58
"113393","1998-11-27, Kirikkale","no",24,77.78,99.4,61.12,6.03
"113492","1999-10-18, Bademli","no",1,11.11,57.54,84.91,9.39
"113403","1998-09-09, Kuyucak","no",4,19.05,97.02,80.08,6.58
"113671","2006-08-28, Antalya","no",69,95.24,99.8,99.23,4.04
"113675","2006-08-28, Antalya","no",23,95.24,99.8,99.23,4.04
